Date;Close;Open;High;Low;VIX ;IV;HV;IV Pctl;1D IV Chg;P/C Vol
02/01/2025;5868.55;5903.26;5935.09;5829.53;17.93;14.54%;36.59%;80%;+0.76%;1.29
03/01/2025;5942.47;5891.07;5949.34;5888.88;16.13;12.92%;29.50%;68%;-1.62%;1.25
06/01/2025;5975.38;5982.81;6021.04;5960.01;16.04;12.79%;28.96%;66%;-0.12%;1.21
07/01/2025;5909.03;5993.26;6000.68;5890.68;17.82;14.33%;35.68%;78%;+1.54%;1.36
08/01/2025;5918.25;5910.66;5927.89;5874.78;17.7;14.45%;36.19%;79%;+0.12%;1.37
10/01/2025;5827.04;5890.35;5890.35;5807.78;19.54;15.72%;41.73%;86%;+1.23%;1.46
13/01/2025;5836.22;5782.02;5838.61;5774.56;19.19;15.72%;41.72%;86%;unch;1.33
14/01/2025;5842.91;5859.27;5871.92;5805.42;18.71;15.63%;41.34%;85%;-0.09%;1.16
15/01/2025;5949.91;5905.21;5960.61;5905.21;16.12;13.12%;30.38%;68%;-2.51%;1.22
16/01/2025;5937.34;5963.61;5964.69;5930.72;16.6;13.10%;30.32%;68%;-0.01%;1.25
17/01/2025;5996.66;5996.24;6014.96;5980.23;15.97;12.70%;28.55%;62%;-0.41%;1.28
21/01/2025;6049.24;6014.12;6051.51;6006.88;15.06;11.81%;24.67%;48%;-1.30%;1.30
22/01/2025;6086.37;6081.39;6100.81;6076.13;15.1;11.39%;22.81%;40%;-0.43%;1.42
23/01/2025;6118.71;6076.32;6118.73;6074.67;15.02;11.21%;22.06%;37%;-0.17%;1.15
24/01/2025;6101.24;6121.43;6128.04;6088.74;14.85;11.18%;21.92%;36%;-0.03%;1.23
27/01/2025;6012.28;5969.04;6017.17;5963.02;17.9;13.66%;32.73%;71%;+2.48%;1.37
28/01/2025;6067.7;6026.97;6074.54;5995.07;16.41;12.72%;28.66%;62%;-0.93%;1.11
29/01/2025;6039.31;6057.7;6062.83;6012.96;16.56;13.12%;30.41%;68%;+0.40%;1.10
30/01/2025;6071.17;6050.75;6086.64;6027.46;15.84;12.50%;27.68%;57%;-0.62%;1.21
31/01/2025;6040.53;6096.79;6120.91;6030.93;16.43;13.14%;30.50%;68%;+0.64%;1.27
03/02/2025;5994.57;5941.92;6022.13;5924.1;18.62;14.77%;37.58%;81%;+1.62%;1.26
04/02/2025;6037.88;5998.14;6042.48;5990.87;17.21;13.24%;30.90%;68%;-1.53%;1.27
05/02/2025;6061.48;6020.45;6062.86;6007.19;15.77;12.72%;28.65%;60%;-0.51%;1.17
06/02/2025;6083.57;6072.22;6084.03;6046.83;15.5;11.98%;25.42%;49%;-0.74%;1.15
07/02/2025;6025.99;6083.13;6101.28;6019.96;16.54;12.83%;29.14%;62%;+0.85%;1.25
10/02/2025;6066.44;6046.4;6073.38;6044.84;15.81;12.15%;26.16%;50%;-0.68%;1.34
11/02/2025;6068.5;6049.32;6076.28;6045.6;16.02;12.31%;26.85%;53%;+0.16%;1.36
12/02/2025;6051.97;6025.08;6063;6003.79;15.89;12.64%;28.29%;56%;+0.33%;1.26
13/02/2025;6115.07;6060.59;6116.91;6050.95;15.1;11.40%;22.87%;37%;-1.24%;1.25
14/02/2025;6114.63;6115.52;6127.47;6107.62;14.77;11.10%;21.56%;30%;-0.30%;1.47
18/02/2025;6129.58;6121.6;6129.63;6099.51;15.35;11.59%;23.73%;39%;-0.50%;1.34
19/02/2025;6144.15;6117.76;6147.43;6111.15;15.27;11.46%;23.16%;36%;-0.13%;1.48
20/02/2025;6117.52;6134.5;6134.5;6084.97;15.66;11.66%;24.01%;40%;+0.19%;1.19
21/02/2025;6013.13;6114.1;6114.82;6008.56;18.21;13.97%;34.10%;74%;+2.31%;1.41
24/02/2025;5983.25;6026.69;6043.07;5977.83;18.98;15.02%;38.67%;82%;+1.05%;1.46
25/02/2025;5955.25;5982.73;5990.95;5908.49;19.43;15.60%;41.22%;85%;+0.58%;1.29
26/02/2025;5956.06;5970.87;6009.82;5932.69;19.1;15.57%;41.09%;84%;-0.03%;1.23
27/02/2025;5861.57;5981.88;5993.69;5859.35;21.13;17.62%;50.03%;97%;+2.05%;1.22
28/02/2025;5954.5;5856.74;5957.91;5837.66;19.63;15.73%;41.80%;86%;-1.88%;1.35
03/03/2025;5849.72;5968.33;5986.09;5810.91;22.78;18.64%;54.47%;98%;+2.90%;1.32
04/03/2025;5778.15;5800.8;5865.08;5732.59;23.51;20.01%;60.47%;98%;+1.37%;1.28
05/03/2025;5842.63;5781.36;5860.59;5743.41;21.93;18.59%;54.26%;97%;-1.42%;1.24
