date,side,sellStrike,buyStrike,wingEntryCreditUsd,maxWingCloseCostUsd,maxWingPremiumMultiple,timeMaxStressMadrid,dangerX2,dangerX3,dangerX4,timeX2Madrid,timeX3Madrid,timeX4Madrid,maxAdverseWingPnlUsd,finalWingPnlUsd,stressBucket,modelProbNoTouch,modelScore,modelConfidence,labelNoTouch
2026-07-30,put,7320.0,7300.0,95.0,30.0,0.316,19:01,False,False,False,,,,65.0,90.0,limpia_sub_1x,0.7226,0.6786,media,True
2026-07-31,call,7510.0,7530.0,90.0,345.0,3.833,22:00,True,True,False,22:00,22:00,,-255.0,85.0,stress_x3,0.6481,0.6221,media,False
2026-07-31,put,7365.0,7345.0,95.0,340.0,3.579,16:30,True,True,False,16:30,16:30,,-245.0,90.0,stress_x3,0.7799,0.7147,media,True
2026-08-06,put,7665.0,7645.0,65.0,80.0,1.231,17:45,False,False,False,,,,-15.0,25.0,normal_1x_2x,0.6581,0.5587,baja,True
2026-08-10,put,7700.0,7680.0,50.0,45.0,0.9,16:15,False,False,False,,,,5.0,45.0,limpia_sub_1x,0.7396,0.531,media,True
2026-08-12,put,7715.0,7705.0,90.0,140.0,1.556,16:15,False,False,False,,,,-50.0,85.0,normal_1x_2x,0.7005,0.7162,media,True
2026-08-13,call,7815.0,7825.0,125.0,420.0,3.36,16:54,True,True,False,16:30,16:45,,-295.0,120.0,stress_x3,0.7007,0.7176,media,False
2026-08-13,put,7745.0,7735.0,40.0,65.0,1.625,18:01,False,False,False,,,,-25.0,35.0,normal_1x_2x,0.7067,0.5656,media,True
2026-08-14,put,7750.0,7720.0,60.0,70.0,1.167,18:00,False,False,False,,,,-10.0,55.0,normal_1x_2x,0.7651,0.5495,media,True
2026-08-17,put,7750.0,7740.0,65.0,470.0,7.231,22:15,True,True,True,19:45,19:45,22:15,-405.0,-405.0,crisis_x4+,0.6681,0.6196,baja,False
